id,essay_prompt,authorship,class_type,grade_letter,gptzero_label,gptzero_ai_percent,contentdetector_label,contentdetector_ai_percent,sapling_fake_percent,copyleaks_ai_percent
26817,Analyze the treatment of African Americans during segregation,Entirely written by me,History,A,Human,0,Likely Human,50,29,0
25711,"Answer the question ""What is Religion?"" Remember, the whole point of taking any stance at all on ""what is religion?"" is, at least in part, to move the study of religion forward.","Partly written by me, partly by AI",Other,A,Human,0,May Have AI,63,0.7,0
23950,Assume the reader knows the play and only use plot references to make a point. This is an opinion piece. Write about the topics that move you the most: Acting Directing Design Play vs Production Relevance (or lack thereof) of themes Insights,Entirely written by me,Other,A,Human,0,Likely Human,40,99,0
15465,"At the start of the 19th century, American republican ideals rested on a firm foundation of individual property rights and the freedom of independent producers (farmers and artisans). But slavery, civil war and the transformations taking place in the workplace‚Äîmuch of it due to rapid industrialization‚Äîfundamentally changed our understanding of American republicanism.  The rapid transformations and reinterpretations of republicanism were often fought out in the workplace and political arena.   You job is to explain:  Why the early 19th century artisan/farmer republican ideals were increasingly out of step with the realities of the mid-to-late 19th century industrial workplace; and How the tensions between worker republicanism (or what we have referred to as ‚Äúlabor republicanism‚Äù) and employer republicanism were expressed over time and at least temporarily settled by the end of the 19th century.","Written by me, but grammar was corrected by AI",History,A,Human,0,Likely Human,8,75.9,0
28414,"Based on your viewing of Allen B√©rub√©'s  No Red-Baiting! No-Race Baiting! No Queen-Baiting! The Marine Cooks and Stewards Union from the Depression to the Cold War  Links to an external site., write a 300-to-400-word double-spaced essay in 12-point font in response to the following questions:      Why did the leaders and members of the Marine, Cooks, and Stewards Union insist on having a union that welcomed Black, Asian, gay, and communist workers in the 1930s?  Why was such unity important to them?      How did MCS members combat ‚Äúred-baiting,‚Äù ‚Äúrace-baiting,‚Äù and ‚Äúqueen-baiting‚Äù from employers, customers, and the Sailors Union of the Pacific?     How did a combination of homophobic and anti-communist politics affect the MCS by the early 1950s?  What legacy did the union leave?  The essay must have an introduction with a thesis, topic-based paragraphs, and a conclusion.  The best essays will offer detailed examples.  You must only use the assigned video.",Entirely written by me,History,A,Human,0,Likely Human,38,93,0
22409,"Before answering your questions, download the latest versions of the PowerPoint slides on Canvas. The latest slides will be posted shortly after class. To facilitate anonymous grading, do not include your name anywhere in the file or the filename. There is a strict upper limit of 2,000 words for your two answers combined, including footnotes (and any bibliographic references). Make sure you do not exceed the word limit. The word count you type into the file should be the word count provided by the Word software, which includes any footnotes. As indicated, this must not exceed 2040 words. (The 40 extra words are so what's already typed into the file doesn't count against your 2,000 word maximum for your two answers combined.) Your answers may be of unequal length, so long as the combined total doesn't exceed 2,000 words. Make sure, however, that each answer is long enough to adequately address the question. Irrespective of length, each answer will be weighted equally in the determination of your grade for this assignment. Whenever you quote from assigned readings, you should include the page or section number in parentheses after the quote: e.g. ""(301)"" or ""(¬ß135)"". There is no need to provide a full citation of any of the assigned readings. If you quote from two different assigned readings by the same author, you should include the date as well as the page number: e.g., ""(1974: 231)"". There is no need to draw on readings beyond the assigned readings. You may, however, do so, in which case provide a full citation of the reading in a footnote. Especially if you draw on readings beyond the assigned readings, make sure to adhere to the next bullet point. Your answers must build upon our examination and discussion in class and the Powerpoint slides rather than being disconnected from these. They should also draw on and critically engage with relevant assigned reading. So long as you adhere to the above bullet point, original insight in your critical engagement is very welcome. Originality in your answers is not, however, necessary for a high grade. It is sufficient to display that you clearly understand and are fully in command of the relevant arguments and the material. You will, however, need to display an understanding and engagement that rises above a mere parroting of points in slides or readings to achieve a high grade. Especially given the short word length, focussed answers that allow you to engage with sufficient critical depth are encouraged. So long as you answer the question, you should not feel the need to cover all points in the readings or slides that might be relevant to the question. Rather, an ability to zero in on key and more significant points will be rewarded. The more sustained development of fewer key points or lines of argument (perhaps even just a single one) will be rewarded over more superficial engagement with more points. Once you have completed your two answers, submit the file (which includes your RUID number at the end of the filename) online by clicking 'Start Assignment' above and then uploading your file via the portal which will display below. The file will be scanned by Turnitin anti-plagiarism software. See 'Academic Integrity Policy' in the syllabus. This take-home exam will count for one-third of your letter grade. Question B: ‚ÄòWhatever arises from a just situation by just steps is itself just‚Äô. How does Nozick draw on and apply this principle in making his Wilt Chamberlain argument against equality? Is his argument sound?","Partly written by me, partly by AI",Ethics,A,Human,0,Likely Human,34,99,89.1
4395,"Biography is the account of a person‚Äôs life. As a narrative, it assumes the responsibility of explaining the period when a person lived as well as the places, the cultures, the organizations and the ideas that shaped an individual‚Äôs life. Furthermore, it examines how a person influenced family and community and, by contrast, how personal relationships influenced her or him or them. That person‚Äôs accomplishments as an actor or as a witness are important features of a biography.   The assignment for Essay #2 is that you write a short biography of a person, explaining how and why the message of the person‚Äôs life that you have selected provides testimony witnessing the injustices confronting workers of his or her or their historical period.  You may not select a famous leader but must describe a person who was a worker in a particular occupation, industry or social movement that gave meaning to work and workers‚Äô destiny in history.  Answering this question means looking beyond what a person has said or not said about their life. The challenge is to examine the message that you discern in actions, decisions, what the person experienced and/or what the person suffered and/or tried to change.",Entirely written by me,History,A,Human,0,May Have AI,66,52,0
17794,Build off the NJSLS standard for grade 12 content area and describe a educational app that would be effective for that standard. How can this app help students achieve understanding of this standard? What are some of the benefits and concerns to using devices/apps in and outside the classroom?,Entirely written by me,Technology,A,Human,0,Likely Human,20,75,0
15695,"Choose a cultural text or artifact from U.S. history (such as a photograph, document, or film) and analyze how it reflects a major social issue in America. Discuss how the chosen artifact shapes our understanding of that issue using specific techniques or cultural approaches","Written by me, but grammar was corrected by AI",History,B,Human,0,Likely Human,0,2.2,0
20681,co,Entirely written by me,History,A,Human,0,Likely AI,100,3.2,0
20392,College tell us about you,Entirely written by me,Other,,Human,0,Likely Human,0,2.9,0
7087,"Compare and contrast the two readings, ""Confession of a New Girl"" and ""A sudden Slice of Summer""",Entirely written by me,English,,Human,0,Likely Human,0,1,0
22525,compare ideas about technology and the mind,"Written by me, but grammar was corrected by AI",English,A,Human,0,Likely AI,75,1,99
21338,compare Ignazio and moss,"Written by me, but grammar was corrected by AI",English,A,Human,0,May Have AI,72,87.8,100
13425,compare tolentino and gilbert,"Written by me, but grammar was corrected by AI",English,A,Human,0,Likely AI,77,36.3,100
16739,compare tolentino and moss,"Written by me, but grammar was corrected by AI",English,B,Human,0,May Have AI,69,73,95
25377,"Confucianism, Democracy, and the Rise of Christianity in Korea","Written by me, but grammar was corrected by AI",Ethics,B,Human,0,May Have AI,40,20,0
7909,"Consider how might the positioning of beauty as a necessary and evolutionary human dynamic driven by our own preferences, may change our thinking that the beauty ideal has become a burdensome, costly mandate?",Entirely written by me,English,C,Human,0,Likely Human,12,2.2,0
17820,"Consider the strategic interaction between South Korea and North Korea which served as a cru- cial backdrop to the March 2022 election in South Korea. Reference articles attached to this prompt provide context on the issue. Some key features include: ‚Äì North Korea and South Korea are engaged in a long-term international rivalry which has included one large war and many military clashes. ‚Äì North Korea is ruled by a personalist dictator while South Korea holds democratic elec- tions. Yoon Suk Yeol won the 2022 South Korean presidential election. How does Yoon‚Äôs election victory (as opposed to his opponent‚Äôs victory) affect the bargaining range and bargaining interaction with North Korea? Does Yoon‚Äôs victory increase or decrease the risk of war on the Korean Peninsula and why? Be precise about which rationalist causes of war become more or less of an issue with Yoon‚Äôs election. More generally, how does South Korea being a democracy affect Yoon‚Äôs decision-making regarding the relationship with North Korea? You should base your answers on course concepts related to bargaining, war, and how domestic politics affects international behavior (such as selectorate theory). For the purposes of this essay, assume that (1) all actors are rational, (2) any war would be costly, and (3) you can incorporate the role of third parties (such as the US and China) if you want but you do not need to do so.",Entirely written by me,Other,A,Human,0,Likely Human,0,75,0
21239,Cullen's poem Incident,Entirely written by me,English,A,Human,0,Likely AI,94,99.6,0
25121,Dichotomies Preventing Reaction.,"Partly written by me, partly by AI",English,,Human,0,Likely Human with AI,0,0.1,0
24689,Discuss the Boxers in the opium war,Entirely written by me,History,A,Human,0,Likely Human,42,3.1,0
16507,"Discuss the implications of AI-generated art. Is AI art a threat to traditional human creativity, or simply a new tool for artists? Use provided articles to provide evidence and cite your resources.",Entirely written by me,Technology,A,Human,0,Likely Human,42,3.6,0
3440,Discussing the ethics of doping in sports games.,Entirely written by me,Ethics,B,Human,0,Likely Human with AI,54,43,0
14967,"Does the use of Artificial Intelligence (AI) by employers to filter job applicants constitute
wrongful discrimination?","Partly written by me, partly by AI",Ethics,B,Human,0,Likely Human,54,7.3,0
5024,"Evaluate Thomas Hobbes' contemporary objection to Descartes' argument ""I think, therefore I am"" that Descartes could as well (or as poorly argued) ""I walk, therefore I am"".",Entirely written by me,Technology,B,Human,0,Likely Human,33,46.8,0
27388,"Explain how industrialization began, describe its working conditions, and evaluate the successes and failures of the labor movement in response.",Entirely written by me,History,A,Human,0,Likely AI,52,26.9,0
8642,"Explain the ""evil genius"" in Ok Bouwsma's paper",Entirely written by me,Ethics,A,Human,0,Likely Human,0,74.4,0
1244,"For this week's essay, please focus only on answering the following questions in your written reply.  What is organizing? What are the most essential elements of building an organization? What is the difference between organizing and mobilizing? What is the relationship between organizing and social change?","Partly written by me, partly by AI",History,A,Human,0,Likely Human,28,99.1,0
3808,"For your second writing project, you will respond to multiple assigned texts on a contemporary topic of interest. By synthesizing your understanding of these texts with your own experience, you will contribute to an ongoing conversation about a specific problem related to the broader topic. You will demonstrate an understanding of using sources and will practice, in particular, analysis, synthesis, summary, paraphrase, and the incorporation of quotations.",Entirely written by me,English,B,Human,0,Likely Human,32,1,0
22705,Give a reflection on the movie Muhammad the Messenger of Allah,Entirely written by me,Other,,Human,0,Likely Human,0,29.8,0
7441,Give a reflection on the movie The Message,Entirely written by me,Other,,Human,0,Likely Human,0,0.8,0
7381,Giving Voice to the Dead,Entirely written by me,English,A,Human,0,May Have AI,25,43.5,0
17846,"Government support for employers - Provide examples of the ways in which the government helped employers during strikes and other labor conflicts. You may include examples of: a) government military intervention on the side of employers,  b) the use of anti-labor judicial injunctions and harsh legal penalties against union activists and labor organizations, and c) laws and public policies that helped employers to maintain their profits and exercise control over workers.  Please explain how these forms of government support had a negative impact on the labor movement.","Written by me, but grammar was corrected by AI",History,A,Human,0,Likely Human,0,71.3,0
7711,Historical analysis about Native Americans,Entirely written by me,History,A,Human,0,Likely Human,50,0,0
20168,How (if at all) does online citizenship meet our need for human connectedness?,Entirely written by me,English,B,Human,0,Likely Human with AI,20,78,0
1149,How did the American Revolution and the events after influence the French Revolution?,"Partly written by me, partly by AI",History,A,Mixed,0,May Have AI,66,100,0
10226,How does incomplete data affect the process and accuracy of data analysts‚Äô decision making? How can systems be put into place in order to accurately supplement this missing data and assist in the decision making process?,Entirely written by me,English,A,Human,0,Likely Human,0,13.4,0
5295,How does office design affect worker productivity and what are the aspects that should be taken into account when designing an office in order to maximize employee comfort and productivity?,Entirely written by me,English,A,Human,0,Likely Human,0,0.4,0
12721,How does office design affect worker productivity and what are the aspects that should be taken into account when designing an office in order to maximize employee comfort and productivity?,Entirely written by me,English,A,Human,0,Likely Human,0,0.4,0
13549,How does the contrast between the celebrated theory of natural selection and the largely ‚Äúignored‚Äù theory of sexual selection complicate how we understand optimization in nature and society?,Entirely written by me,English,B,Human,0,Likely Human,35,14.5,0
29616,Human Ecology (I chose the topic of Religion on relationship between Human and Environment),Entirely written by me,English,A,Human,0,Likely Human,0,1,0
5014,I hope to grow in the following ways as an RU student‚Ä¶..,Entirely written by me,Other,A,Human,0,Likely Human,0,2.2,0
14978,"In Analytic Essay 2, you are asked to rely on three of our readings to develop your own line of intellectual inquiry to form a complex thesis and framework from which your essay will be formed. As discussed in class, you are welcome (though not required) to draw on Foucault‚Äôs theory for how power functions in society and his metaphor of the ‚Äúpanopticon‚Äù. For this assignment, complete the introduction, and one strong body paragraph.",Entirely written by me,English,A,Human,0,Likely Human,37,1.9,0
16491,"In Chapter I of Russell's Analysis of Mind, Russell states ""...the things we can discover by introspection do not seem to differ in any very fundamental way from the things which we discover by external observation"".  What is meant by this claim?  In thinking about your answer, you will need to keep separate a)external observation and introspection as distinct modes or channels of acquiring knowledge on the one hand and b)the kinds of things, whether physical or mental, that we can know.  It will be helpful to consider the various kinds of evidence one employs in forming a picture of one's own beliefs and motivations.","Partly written by me, partly by AI",Technology,B,Human,0,Likely Human,15.3,15.3,0
11699,"In her essay, ‚ÄúAlways Be Optimizing,‚Äù Jia Tolentino illuminates how the entwined systems of capitalism and patriarchy encourage women to constantly ‚Äúoptimize‚Äù their bodies and lifestyles so that they might become ‚Äúthe ideal woman‚Äù‚Äîthe ever-unattainable female social ideal. According to Tolentino, this ideal image complicates a woman‚Äôs ability to dress, act, and choose freely‚Äîfor herself. Susan Faludi‚Äôs ‚ÄúThe Naked Citadel‚Äù presents an ideal of a different kind. Those in power at the Citadel have deemed it their mission to produce ‚ÄúWhole Men‚Äù (72, 80) through their own forms of restrictive, normative gender ideals. According to Faludi, those in power at the Citadel demand conformity of the cadets through a rigid, militaristic, and often violent environment. Indeed, the Citadel seeks to ‚Äúoptimize‚Äù its cadets, first by breaking them down, and then by making them into ‚Äúbetter‚Äù men. In this environment, there are frequently severe consequences for those who do not conform. Both texts, in other words, show how social influence can shape how an individual conceives of and performs their identity in a variety of ways. Drawing your evidence from both texts, compose an independent and well-structured argument inspired by the following question: How/why does the pursuit of an ‚Äúoptimized‚Äù ideal challenge or complicate a person‚Äôs ability to create and perform an individualized identity?",Entirely written by me,English,B,Human,0,Likely Human,27,9.4,0
22987,"In Sherry Turkle‚Äôs Flight from Conversation, she focuses on how smartphones have reduced the ability of people to empathize with one another. Turkle states that ‚ÄúWe expect more from technology and less from one another and seem increasingly drawn to technologies that provide the illusion of companionship without the demands of relationship‚Äù (Turkle 4). Likewise, Jean Twenge in Have Smartphones Destroyed a Generation alludes to some of the more debilitating results of technology and smartphone overuse on the iGen, generation  Citing textual evidence from both Turkle and Twenge to substantiate your analysis, compose an original essay in response to the following questions: Does the attachment to technological innovation and advancement pose a greater threat than benefit to human society? Pre-Writing Questions: (*Note: do not ‚Äúanswer‚Äù these questions directly in the body of your essays; rather, I include them here to help you generate ideas and start working toward your response to the prompt). Consider the follow-up questions in your response:¬† * Are there areas of compromise that the writers may be overlooking?  * Is individual responsibility the only significant approach to effectively addressing the pushback to macro dilemmas?",Entirely written by me,English,C,Human,0,Likely Human,4,29.9,0
23362,"In the post–Civil War United States, corporations grew significantly in number, size, and
influence. Analyze the impact of big business on the economy and politics and the responses of
Americans to these changes. Confine your answer to the period 1870 to 1900.",Entirely written by me,History,A,Human,0,Likely Human with AI,36,1.9,0
28261,In what ways did the depiction of colonialism as a ‚Äúcivilizing mission‚Äù help drive European colonial expansion?,"Partly written by me, partly by AI",History,A,Human,0,Likely Human,0,1.9,0
15101,In what ways might the concept of ‚Äúauthenticity‚Äù impact how individuals live (or ‚Äúperform‚Äù) their lives?,Entirely written by me,English,A,Human,0,Likely Human with AI,52,0.7,0
7689,"In your journal entry, please respond to the following questions:  What was your overall experience in preparing for and delivering the Persuasive Speech? Was it a worthwhile experience and have you personally grown from it? Please explain and give specific examples.   Which was more challenging for you - speech preparation (including planning, analysis, research, writing the outline, speaker notes, and practicing) OR actually delivering the speech to the class OR were both equally challenging? What steps or measures did you take, if any, to overcome these challenges? Please explain and give examples.   You were given feedback from the instructor and your classmates on your previous speeches. How did this feedback impact your preparation for your persuasive speech?   Will the peer-reviews from students and/or the instructor for the in-class speech delivery inform the preparation and/or delivery of the next speech you'll do? If so, in what way? Please explain and give specific examples.    Do you think the audience (classmates) was persuaded by your speech/presentation? Why or why not? Please explain.   Which speech did you find more challenging - the Informative Speech or Persuasive Speech? Please explain and give examples.   If you were given another chance to re-do this speech, would you have done something differently or do everything the same? Please explain and give examples.","Written by me, but grammar was corrected by AI",English,A,Human,0,Likely Human,40,8,0
4858,"Introduce an interesting topic related to new technology, for an essay competition",Entirely written by me,Technology,,Human,0,Likely Human,0,22,0
19144,John Proctor is the Villain,"Partly written by me, partly by AI",English,,Human,0,Likely Human,0,12.6,0
24848,late19th centurry,"Partly written by me, partly by AI",History,,Human,0,Likely Human with AI,50,73.2,0
20457,N/A,Entirely written by me,English,,Human,0,Likely Human,0,0.3,0
24637,N/A,Entirely written by me,English,,Human,0,Likely Human,0,0.8,0
28212,National Wildlife Refuge,"Written by me, but grammar was corrected by AI",Other,A,Human,0,Likely Human with AI,58,0.3,0
4873,"Once you have taken thorough notes on each passage, produce AT LEAST TWO substantive paragraphs of at least 250 words each. Each paragraph should consider (and quote from) ONE of the selected passages, ANALYZING the ideas you encountered, while avoiding SUMMARY.  ANALYSIS explores and explains; it says something new. It requires that we consider implications, that we interpret the language and structure of a text. Analysis looks for patterns, dissects concepts, and explores (rather than merely presenting) evidence. It asks (and answers!) HOW and WHY SUMMARY reports on what has already been said. It generally asks and answers WHAT, WHERE, WHEN, and WHO Summary adds nothing new to the conversation.",Entirely written by me,English,A,Human,0,Likely Human with AI,12,71.9,0
13327,"Once you have taken thorough notes on each passage, produce AT LEAST TWO substantive paragraphs of at least 250 words each. Each paragraph should consider (and quote from) ONE of the selected passages, ANALYZING the ideas you encountered, while avoiding SUMMARY.  ANALYSIS explores and explains; it says something new. It requires that we consider implications, that we interpret the language and structure of a text. Analysis looks for patterns, dissects concepts, and explores (rather than merely presenting) evidence. It asks (and answers!) HOW and WHY SUMMARY reports on what has already been said. It generally asks and answers WHAT, WHERE, WHEN, and WHO Summary adds nothing new to the conversation.",Entirely written by me,English,A,Human,0,Likely Human,12,0.4,0
10370,"Pick a novel or a play that you love and analyze it. Discuss whichever of the following elements are appropriate for your choice: Book ‚Äì The Body by Stephen King  a.	Theme b.	Imagery c.	Symbolism d.	Life lesson taught in the work",Entirely written by me,English,,Human,0,Likely Human,45,0.6,0
14086,Pick a relevant topic from class and how you can combat it with methods taught in class,Entirely written by me,Other,A,Human,0,Likely Human,19,95.8,0
24561,"Plants take up most of their water via their roots, and it is moved in the plant through an elaborate plumbing system. Do you think desert plants (those plants that are experiencing low rainfall) have deep or shallow roots? Explain.",Entirely written by me,Other,A,Human,0,Likely Human,25,93.3,0
18727,Question #1 - Describe the Powell Doctrine. Did the Persian Gulf War meet its conditions?,Entirely written by me,History,A,Human,0,Likely Human,0,13,0
13469,"Research indicates there is a psychology behind posting on social media. What are the psychological effects of posting on social media vs. not posting? What are the driving forces behind our posts, the motivators and the deterrents. And is social media use addictive?","Partly written by me, partly by AI",Other,A,Human,0,Likely AI,80,100,0
26553,"Research what new features were included in Microsoft Server 2022 operating system, pick one new feature or improvement and write a one-pager describing this feature and why it is important or useful.  Include at least 1 reference.",Entirely written by me,Technology,A,Human,0,Likely AI,80,99.5,0
9677,Rules and Regulations - Molding Artificial Intelligence to Complement and Secure Societal Interests,Entirely written by me,Technology,A,Human,0,Likely Human,20,99,0
7251,The Angel with Broken Wings,Entirely written by me,English,A,Human,0,Likely Human with AI,25,2.4,0
287,The Future of Mobility,Entirely written by me,Other,B,Human,0,Likely Human,45,0,0
21047,"There are still many efforts being made to promote Black Labor participation in cities like Gary. For example, the report shows that there were several programs promoting economic growth for people all around the town. The programs were also created with the aim of creating jobs throughout the city to hopefully pull them out of poverty. Another idea that the report mentioned is the use of outside businesses and people. The town had many plans to attract new industries to revamp the dying city in order to preserve it for future generations.",AI-generated,History,A,Human,0,Likely AI,80,97.1,0
25054,"This assignment was locked Jun 14 at 11:59pm. Throughout this course, you have given a lot of thoughts to and carefully designed multiple aspects of your conlang. Now is the time to put them all together and make your conlang come even more alive! The main components of the final paper are described below. You can also find the details available in the rubric at the bottom of this page.  1. The name of your conlang:  Please be sure to provide the name of your conlang as a word in the conlang itself. (This is similar to what you had done in your unit 3 assignment.) As always, please also be sure to write your conlang's name in IPA symbols. (You are of course also welcome to provide your conlang's name in the English alphabet, if you'd like, on top of providing the name in IPA transcriptions.) 2. Cultural background, motivation, and purpose:  Please provide a brief introduction to the speakers of your conlang, similar to what you had done in your unit 2 assignment. If you are inventing a conlang for a fantasy setting (such as Klingon), please provide some relevant background information about your speakers: for example, what kind of beings are your speakers? What is their culture like? Is there any information related to how they speak or communicate that would be relevant to the design of your conlang that's worth mentioning? If you are inventing a human language (such as Esperanto), please specify what the purpose of your conlang is: for example, is your conlang invented to facilitate clearer communications? Is your conlang invented to be easy to learn? And so on. A good thing to keep in mind is that it will be helpful for you to focus on the information that is the most relevant to the *linguistic* features of your conlang. Doing so will help you justify why you have designed your conlang in the way that you have. :) 3. Descriptions of linguistic features:  Please provide a detailed description of the various aspects of your conlang's linguistic designs. In other words, please provide a description of your conlang's phonetics, phonology, morphology, and syntax. (You do not have to talk about your conlang's semantics.) This is the same as what you had done in your unit 3, 4, 5, and 6 assignments. Similar to what you had done for your unit 4 assignment, please submit the sound inventory of your conlang as a separate document. You can use the template hereOpen this document with ReadSpeaker docReader (this is the same template you were given in unit 4). It will also be a good idea to focus on descriptions that you believe are relevant to the motivation or purpose of your conlang. (You have all done this very well in your assignments! :)) Please be sure to use linguistic terminologies in your descriptions where relevant. Please also be sure to provide relevant examples (in IPA) from your conlang to illustrate the various linguistic features of your conlang. For descriptions pertaining to the syntactic aspects of your conlang, please provide your examples (such as example sentences and questions from your conlang) in linguistic glosses. (This is the same as what you had done in your unit 6 assignment.) You can find more details on these requirements in the rubric below.",Entirely written by me,Other,A,Human,0,Likely Human with AI,60,0.4,0
29861,"Throughout this course, we've examined various variables in online language, and explored how they impact the message being sent. For example, what is the difference between a message spelled in ALL CAPS and one that uses standard capitalization? For your final project, you'll take this a step further. Instead of comparing two posts, one with and one without a given variable, you will analyze variants of a CMC variable in a set of posts from an online speech community, with the goal of determining why an account/user sometimes uses one variant and sometimes another.  Step 1: Select the CMC variable that you will analyze.   Your choices for CMC variables are (i.e. you must choose one of the below): Abbreviations All Caps Emoji* Expressive Lengthening *please note that while this is a popular choice, it isn't any easier than any of the other variables.  Step 2: Identify the variants of the variable that you will examine.  Examples of variants are: For abbreviations: captions that use abbreviations vs. spelled out words (this could be comparing wya to where are you/where you at or comparing rn to right now -- you must compare abbreviations of a word/phrase to fully spelled out words/phrases with similar meanings) For all caps: captions that contain words or phrases written in ALL CAPS vs. those that are written in Standard capitalization For emoji: captions that contain emoji vs. those that do not For expressive lengthening: captions that contain words with extra letters for effect like yesss or yayyy vs. captions that have words with standard spelling Step 3: On the same platform, find  10 posts by the same person/account that contain one variant of your variable in the original caption (not in a retweet/repost/tagged post) 10 posts that contain the other variant Example: You will find 10 posts by Taylor Swift that contain ALL CAPS and 10 posts by Taylor Swift that do not have words in all caps. (You want actual posts by the account, not replies to comments or the comments themselves, and not posts that have been made with other accounts, since you don't know which account was responsible for those captions.) Please note that your captions must contain text/language other than tags (@) or hashtags (#) or emoji.",Entirely written by me,Other,A,Human,0,Likely Human,33,30.1,0
13046,To what extent can we and should we expect the public to act in its best interests? To what extent should the public bear responsibility when it finds itself caught up in a quagmire which it did not (consciously) ask for? To what extent is the public a victim or an abettor of the more powerful forces depicted in both articles?,AI-generated,English,,Mixed,0,Likely Human with AI,54,100,100
3221,To what extent can we and should we expect the public to act in its best interests? To what extent should the public bear responsibility when it finds itself caught up in a quagmire which it did not (consciously) ask for? To what extent is the public a victim or an abettor of the more powerful forces depicted in both articles?,Entirely written by me,English,B,Human,0,May Have AI,66,31.8,0
14073,"Towards the end of his paper ""Sensations and Brain Processes"", J.J.C. Smart remarks that one who asserts that the mind-brain identity theory is a straight-out scientific hypothesis is ""partly right and partly wrong"".  Briefly describe Smart's explanation of this remark.","Partly written by me, partly by AI",Technology,A,Human,0,Likely Human,0,31.1,0
